epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1992,1.62218,2.68522,1.44544,0.50769,0.39294,0.40854,0.21101,1.73111,2.14311,1.4728,0.000553389,0.000553389,0.000553389
2,76.8359,1.63006,1.91219,1.44065,0.57812,0.50218,0.50965,0.2508,1.67714,2.14096,1.49492,0.0010871,0.0010871,0.0010871
3,112.524,1.62056,1.65332,1.42799,0.55813,0.53544,0.53795,0.25881,1.64194,1.86141,1.46317,0.0015988,0.0015988,0.0015988
4,147.371,1.59988,1.52817,1.4102,0.6786,0.61639,0.66239,0.36381,1.53925,1.38575,1.39152,0.00156798,0.00156798,0.00156798
5,182.599,1.53308,1.39978,1.36304,0.73979,0.63073,0.69949,0.38011,1.5075,1.31453,1.33325,0.00153497,0.00153497,0.00153497
6,217.997,1.49798,1.30769,1.33289,0.76791,0.70841,0.77812,0.43394,1.4454,1.1127,1.29976,0.00150197,0.00150197,0.00150197
7,253.102,1.46455,1.25965,1.31324,0.76139,0.70579,0.75938,0.4268,1.44092,1.14331,1.30989,0.00146896,0.00146896,0.00146896
8,287.155,1.43439,1.20501,1.29656,0.80371,0.71511,0.78931,0.4599,1.38625,1.10063,1.27029,0.00143595,0.00143595,0.00143595
9,320.993,1.42185,1.16741,1.28211,0.82528,0.72373,0.80456,0.46941,1.41131,1.051,1.25951,0.00140295,0.00140295,0.00140295
10,355.672,1.38671,1.10675,1.26427,0.78002,0.77157,0.81133,0.47145,1.33784,1.11122,1.23764,0.00136994,0.00136994,0.00136994
11,390.42,1.37458,1.08164,1.25466,0.79209,0.71694,0.77826,0.45899,1.36728,1.02453,1.25676,0.00133693,0.00133693,0.00133693
12,425.093,1.3502,1.05582,1.24315,0.83182,0.764,0.82767,0.49912,1.31962,0.9485,1.2084,0.00130393,0.00130393,0.00130393
13,460.169,1.33657,1.02682,1.23851,0.84349,0.7634,0.84242,0.49983,1.32538,0.93795,1.22778,0.00127092,0.00127092,0.00127092
14,495.335,1.31317,0.98735,1.22349,0.86375,0.76092,0.8414,0.5058,1.31037,0.927,1.20775,0.00123791,0.00123791,0.00123791
15,530.174,1.31318,0.98505,1.21785,0.87721,0.79161,0.86169,0.53388,1.25858,0.84834,1.185,0.00120491,0.00120491,0.00120491
16,565.353,1.28803,0.94354,1.20443,0.8472,0.7728,0.84531,0.51914,1.28094,0.88772,1.19168,0.0011719,0.0011719,0.0011719
17,599.671,1.28456,0.93681,1.20314,0.86088,0.81994,0.88186,0.5347,1.27708,0.82008,1.18272,0.00113889,0.00113889,0.00113889
18,633.6,1.2585,0.90528,1.18761,0.86273,0.77809,0.853,0.51864,1.31032,0.85891,1.20987,0.00110589,0.00110589,0.00110589
19,667.666,1.25297,0.88759,1.18029,0.86236,0.80369,0.86839,0.53288,1.24814,0.86637,1.17307,0.00107288,0.00107288,0.00107288
20,702.946,1.24577,0.87976,1.17981,0.86594,0.83466,0.88783,0.56636,1.1949,0.76835,1.13516,0.00103987,0.00103987,0.00103987
21,737.2,1.21661,0.84942,1.16025,0.88638,0.81983,0.89203,0.56562,1.23214,0.77375,1.15366,0.00100687,0.00100687,0.00100687
22,771.37,1.21096,0.83791,1.16522,0.89353,0.82118,0.89257,0.57375,1.19841,0.78767,1.13768,0.000973861,0.000973861,0.000973861
23,805.661,1.19154,0.82609,1.15317,0.88274,0.83674,0.88734,0.55949,1.22687,0.76452,1.14897,0.000940855,0.000940855,0.000940855
24,839.955,1.18055,0.79522,1.14563,0.87708,0.80882,0.87106,0.54043,1.25899,0.79216,1.18261,0.000907848,0.000907848,0.000907848
25,874.542,1.16925,0.79382,1.13757,0.89505,0.82895,0.90101,0.58149,1.18415,0.7335,1.13417,0.000874842,0.000874842,0.000874842
26,909.05,1.16166,0.78051,1.12916,0.88453,0.84973,0.89455,0.5748,1.21257,0.72077,1.14469,0.000841835,0.000841835,0.000841835
27,944.266,1.1333,0.74515,1.11961,0.90364,0.83226,0.90272,0.58024,1.19743,0.73236,1.13539,0.000808828,0.000808828,0.000808828
28,978.616,1.12403,0.74162,1.11188,0.90434,0.84852,0.90517,0.58986,1.19039,0.69778,1.1366,0.000775822,0.000775822,0.000775822
29,1016.13,1.12236,0.72604,1.11057,0.90737,0.84345,0.91632,0.59122,1.169,0.68851,1.11623,0.000742815,0.000742815,0.000742815
30,1052.03,1.12649,0.73221,1.11178,0.89793,0.84292,0.90931,0.59618,1.18223,0.68084,1.12489,0.000709809,0.000709809,0.000709809
31,1087.57,1.11734,0.71665,1.10456,0.92505,0.86518,0.92818,0.59979,1.16927,0.66346,1.12451,0.000676802,0.000676802,0.000676802
32,1124.39,1.10227,0.70473,1.10422,0.90579,0.86776,0.91766,0.60254,1.17393,0.65727,1.12286,0.000643795,0.000643795,0.000643795
33,1158.7,1.08847,0.68937,1.09152,0.92058,0.85366,0.92519,0.60627,1.14767,0.65293,1.12281,0.000610789,0.000610789,0.000610789
34,1191.9,1.07068,0.66954,1.08379,0.90803,0.86911,0.92557,0.60985,1.14357,0.63613,1.10849,0.000577782,0.000577782,0.000577782
35,1225.47,1.07029,0.66039,1.08354,0.91293,0.87352,0.92826,0.61267,1.14826,0.63422,1.11038,0.000544776,0.000544776,0.000544776
36,1260.27,1.06271,0.66651,1.08,0.93147,0.85352,0.93183,0.62103,1.13923,0.63232,1.09929,0.000511769,0.000511769,0.000511769
37,1294.14,1.03635,0.64972,1.07053,0.91681,0.85958,0.92499,0.61251,1.13727,0.63335,1.10457,0.000478762,0.000478762,0.000478762
38,1328.18,1.04103,0.63719,1.07187,0.90982,0.86934,0.92795,0.6206,1.1242,0.62255,1.10221,0.000445756,0.000445756,0.000445756
39,1361.75,1.02946,0.63701,1.06275,0.9161,0.88212,0.93374,0.62994,1.11968,0.62299,1.10279,0.000412749,0.000412749,0.000412749
40,1396.21,1.02349,0.6178,1.06196,0.91307,0.8853,0.93405,0.62781,1.12229,0.60758,1.09847,0.000379743,0.000379743,0.000379743
41,1470.92,0.98863,0.55543,1.0228,0.90328,0.86567,0.92127,0.61939,1.11687,0.62617,1.1029,0.000346736,0.000346736,0.000346736
42,1505.49,0.95759,0.53109,1.01319,0.91575,0.8815,0.92905,0.61994,1.12921,0.61018,1.10867,0.000313729,0.000313729,0.000313729
